Title,URL  (nintendo.com or nintendo.co.uk),asset_flip,framerate
logscape puzzle game,https://www.nintendo.com/games/detail/logscape-puzzle-game-switch/,x,
magic pen color book,https://www.nintendo.com/games/detail/magic-pen-color-book-switch/,x,
magical maze,https://www.nintendo.com/games/detail/magical-maze-switch/,x,
mahjong masters,https://www.nintendo.com/games/detail/mahjong-masters-switch/,x,
mania fish,https://www.nintendo.com/games/detail/mania-fish-switch/,x,
max reloaded ii,https://www.nintendo.com/games/detail/max-reloaded-ii-switch/,x,
maze with cube,https://www.nintendo.com/games/detail/maze-with-cube-switch/,x,
metal commando,https://www.nintendo.com/games/detail/metal-commando-switch/,x,
mini car racing,https://www.nintendo.com/games/detail/mini-car-racing-switch/,x,
monster rescue,https://www.nintendo.com/games/detail/monster-rescue-switch/,x,
mountain bike hill climb race real 2d arcade dirt racing games,https://www.nintendo.com/games/detail/mountain-bike-hill-climb-race-real-2d-arcade-dirt-racing-games-switch/,x,
my little fast food booth,https://www.nintendo.com/games/detail/my-little-fast-food-booth-switch/,x,
my little fruit juice booth,https://www.nintendo.com/games/detail/my-little-fruit-juice-booth-switch/,x,
my little icecream booth,https://www.nintendo.com/games/detail/my-little-icecream-booth-switch/,x,
ninja buddy epic quest,https://www.nintendo.com/games/detail/ninja-buddy-epic-quest-switch/,x,
ninja-epic-adventure,https://www.nintendo.com/games/detail/ninja-epic-adventure-switch/,x,
offroad mini racing,https://www.nintendo.com/games/detail/offroad-mini-racing-switch/,x,
olympic basketball,https://www.nintendo.com/games/detail/olympic-basketball-switch/,x,
olympic boxing,https://www.nintendo.com/games/detail/olympic-boxing-switch/,x,
olympic table tennis,https://www.nintendo.com/games/detail/olympic-table-tennis-switch/,x,
park inc,https://www.nintendo.com/games/detail/park-inc-switch/,x,
party games 15 in 1,https://www.nintendo.com/games/detail/party-games-15-in-1-switch/,x,
pinball big splash,https://www.nintendo.com/games/detail/pinball-big-splash-switch/,x,
pirate treasure island of mazes,https://www.nintendo.com/games/detail/pirate-treasure-island-of-mazes-switch/,x,
pix jungle adventures,https://www.nintendo.com/games/detail/pix-jungle-adventures-switch/,x,
pixel head soccer,https://www.nintendo.co.uk/Games/Nintendo-Switch-download-software/Pixel-Head-Soccer-1978323.html#Overview,x,
pixel jumper,https://www.nintendo.com/games/detail/pixel-jumper-switch/,x,
pop blocks,https://www.nintendo.com/games/detail/pop-blocks-switch/,x,
pop the bubbles,https://www.nintendo.com/games/detail/pop-the-bubbles-switch/,x,
